Word,Meaning,Yo,Tú,Él/Ella/Usted,Nosotros,Vosotros,Ellos/Ellas/Ustedes,Tense,Extra Notes
ir,to go,iba,ibas,iba,ibamos,ibais,iban,imperfect,irregular
ver,to see,veía,veías,veía,veíamos,veíais,veían,imperfect,irregular
ser,to know,era,eras,era,éramos,erais,eran,imperfect,irregular
hablar,to talk,hablaba,hablabas,hablaba,hablábamos,hablabais,hablaban,imperfect,
comer,to eat,comía,comías,comía,comíamos,comíais,comían,imperfect,
vestirse,to get dressed,me vestía,te vestías,se vestía,nos vestíamos,os vestíais,se vestían,imperfect,
jugar,to play,jugaba,jugabas,jugaba,jugábamos,jugabais,jugaban,imperfect,
escuchar,to listen,escuchaba,escuchabas,escuchaba,escuchábamos,escuchabais,escuchaban,imperfect,
mentir,to lie,mentía,mentías,mentía,mentíamos,mentíais,mentían,imperfect,
vivir,to live,vivía,vivías,vivía,vivíamos,vivíais,vivían,imperfect,
correr,to run,corría,corrías,corría,corríamos,corríais,corrían,imperfect,
saber,to know,sabía,sabías,sabía,sabíamos,sabíais,sabían,imperfect,
querer,to want,quería,querías,quería,queríamos,queríais,querían,imperfect,
despertarse,to wake up,me despertaba,te despertabas,se despertaba,nos despertábamos,os despertabais,se despertaban,imperfect,
salir,to leave,salía,salías,salía,salíamos,salíais,salían,imperfect,
